Mean_Integrated,EK,Skewness,Mean_DMSNR_Curve,SD_DMSNR_Curve,EK_DMSNR_Curve,Skewness_DMSNR_Curve,Class
80.6744958,1.1591823910702088,0.163625049,5.383693623,51.205357578,3.101666897,-1.630793986,1
118.3553715,0.21192282136700064,0.401780257,2.275006127,20.729922304,0.624933716,72.698980334,0
113.7234243,0.9600035186667437,-0.101757177,3.127683385,38.580371176,6.299526538,32.647821571,0
109.4364543,0.49881356719244346,0.182048986,8.386296106,14.293474665,3.628527663,20.306694221,0
97.5144325,0.8374239315257613,1.816318497,5.997759064,62.1418418,7.105228671,8.880876321,1
133.7425035,2.2015623548770433,-0.299379099,5.914600687,46.626412807,3.56975442,72.096168918,0
89.1053697,1.0443906995759684,4.238586499,5.636849352,25.236620598,6.304592238,120.666745301,1
81.6127974,2.5174605172508175,0.266333355,20.13467113,24.314769871,2.586261316,98.004158974,1
57.7528819,1.2654138877373773,4.045141158,3.990919399,14.909484356,-0.310567076,224.556516201,1
78.8354633,0.27590525167400043,0.102066532,1.443232345,17.837153963,6.212201358,7.178459668,0
98.1175858,5.746653577082852,0.405374551,13.427198683,62.1418418,8.88138909,65.397934416,1
122.9229528,1.2209266336734572,0.918532825,4.51503974,15.029116605,8.77813923,33.101576139,1
121.1118486,0.4622216832915599,-0.669416745,3.54585564,13.512464812,8.259374677,58.294538442,0
135.05481,0.12052608202275603,2.543697375,18.617769847,14.03573294,8.174208234,58.646131171,1
116.700724,1.7728459876961475,-0.066932079,4.996208405,20.845508108,0.692931524,74.538420377,1
122.3200552,1.7070319718830087,-0.077555575,4.063251233,58.466597872,0.152642822,-0.705245582,0
81.6726572,1.1947865756452176,0.327852792,2.291757107,20.550955168,7.282434338,74.559923257,0
124.8635549,1.2246158000569087,0.691529009,2.772244423,23.626468013,11.473643878,51.481336088,0
102.2275076,3.7141635715947094,0.100259666,8.516938797,15.192179971,0.590017718,60.854505185,1
133.0918605,3.796098387287559e-05,0.446508868,6.318272666,54.143019232,4.697344448,38.603800976,1
102.6956756,5.736176400365586,0.300212,13.249470672,19.662582545,1.276585746,123.53775815,0
116.9541166,0.7943763313698456,-0.132236754,2.611673254,31.715275188,2.574367528,330.660711367,0
97.2394859,0.6324785849062449,-0.200679021,1.695851566,42.548218291,5.590795602,12.565459296,0
115.1898326,0.36641295329571855,2.232483285,2.456214384,44.313931168,7.243463988,190.313461209,0
86.7109138,2.0373834312106505,0.321964454,3.423926088,24.155729362,8.074870604,30.724461735,0
99.33436,0.5235227791509396,-0.528751122,6.373277272,19.121120893,9.997028207,16.269348743,1
133.17594,2.1597618161007954,1.874995857,9.320447382,19.86596376,5.067404473,140.411979164,0
107.2286242,2.099234550977708,0.265055852,11.305305733,20.987284661,6.983378353,32.480152325,1
128.0080692,0.10441109784918123,1.486769451,6.481180032,17.929755888,4.784108526,27.7069759,0
65.2078513,0.6071108861541468,0.014510767,4.240709102,57.799206801,3.178746902,20.834097401,0
129.1982555,1.1692779169910783,-0.184788768,8.775649411,17.101702318,5.852198695,13.097505429,1
114.2433686,0.11521207759967356,1.204906261,27.437592128,15.720242747,4.637363072,-1.630793986,1
105.3031526,0.7439495613114142,0.851374825,1.501364866,37.023711311,5.728319797,100.422235116,0
88.7668836,0.3433859029485307,1.483786783,2.932740748,14.858816667,2.226536534,228.531736732,0
89.0993752,0.3718446520727523,2.083055256,2.621939275,16.844647735,10.73580309,137.195811473,0
90.750857,0.8163297485385433,-0.11402885,28.134138326,62.1418418,0.990119804,17.831475743,1
92.338214,0.4128768701680187,2.358207616,2.861030722,22.237869144,5.958790035,102.316443594,0
109.5843176,0.4430906082912073,2.121011148,2.105059926,35.595728792,8.760334246,113.551731586,0
118.0064049,1.5453666511146034,4.125331856,11.470897682,19.926036206,3.292445639,117.038525898,0
101.9647855,0.0904542798893389,2.149185091,9.992019092,17.537742961,5.948734295,40.550124535,0
143.5304308,1.8984324445953156,0.726727897,3.060294734,16.737030273,1.096923728,109.294024769,1
106.0170936,0.5860567281380494,3.763042136,10.996378497,32.909136294,10.457597256,91.453377604,0
117.3949618,0.6685352663362167,-0.121448146,3.161077014,39.518680696,8.252052946,77.467669106,0
105.2112636,0.6212830431990569,1.567627052,20.157415172,19.48905157,8.173254551,25.04053066,1
100.1195575,6.297882485586268,2.724795407,3.813513785,13.799623014,1.102678554,42.898333526,0
112.4216436,1.0710973670830193,0.082191946,3.917210135,62.1418418,1.388113019,111.62170591,0
103.8746446,0.9577839612448369,2.334906288,3.239312161,52.143930845,0.719047151,26.986749604,0
117.8115892,0.01850184634888724,-0.405213994,1.403777469,18.504828689,7.525763151,166.175859466,0
96.8733894,1.220712696881482,1.379005234,2.766606405,18.864582407,5.883329252,7.602362222,1
145.5689371,3.796098387287559e-05,2.098423115,2.571435438,62.016208747,11.556928904,4.919262294,0
131.6516104,0.3625615617770698,0.383392878,7.326704236,56.045376632,8.011712634,67.980592798,0
72.7601055,1.170643369456682,0.750882074,6.122815318,29.082769446,3.210131867,43.201432769,1
146.9931548,0.8441999744002251,0.041972788,4.711376909,14.733811624,5.826884942,-0.62228685,0
90.9117706,2.690904458414188,3.940343346,1.171885158,16.523232123,5.755594661,53.928058707,0
89.1703072,0.834214045411888,-0.27286839,1.808719888,62.1418418,6.150926494,-1.630793986,0
113.2512812,0.35896450747793174,2.683358507,35.254763318,13.194699386,6.381157084,-0.94853461,1
92.7377378,6.335348509786956,3.173176563,2.999546347,16.353666073,3.758304501,101.607213532,0
106.5870115,0.1026657751132265,3.07667545,3.061441637,59.942855143,0.901480571,95.211113486,0
68.4012538,0.31297320762395436,0.410698637,11.210511715,15.835287433,6.749230571,89.171031592,0
129.5179789,0.4386043990421615,-0.09857738,28.247394653,37.249086729,4.296107787,288.966321614,0
141.4566416,1.9031439512983042,2.498571805,11.038709615,21.72962182,7.568507388,49.098064212,0
127.3141369,3.8822686418335817,0.131712519,2.222126696,16.078126698,7.056707579,-1.630793986,1
102.492197,0.912700949791319,0.066768727,4.377417497,23.519098145,1.919859827,57.42546576,0
121.264542,0.8136533083306556,4.238586499,9.532761365,39.581127797,3.132995399,33.049942237,1
103.587557,3.736198098598033,0.444181914,3.10164849,56.877671751,6.447481616,65.8132668,1
111.8302204,0.17096061175559704,-0.005123766,1.910613491,20.263598786,2.827751997,41.441584305,0
122.0537954,0.13322782111635423,-0.198078327,2.652460123,62.1418418,12.422694122,35.240039557,0
123.4032558,3.796098387287559e-05,0.55673131,34.651506204,62.1418418,1.026807597,7.496190374,0
135.1693666,0.24997432929868824,1.710697432,3.597326639,13.944995849,2.907971552,40.414539643,1
121.0244893,2.7292372590227933,0.164735379,5.919664985,25.538930343,6.8034327,49.701936718,0
72.8350344,0.08548810939774995,0.227306057,4.8111908,14.647584062,8.543101036,74.054010333,0
119.2868069,0.4065624900164673,0.56918316,3.014737739,57.054156547,7.055816132,76.333266305,0
107.3478529,0.8376268684058855,1.522294566,5.743035621,15.80060938,0.164885231,-1.630793986,1
74.2746218,0.1870411063909288,2.541161785,5.415284114,21.29198035,6.673495058,-1.630793986,1
106.4873557,0.33616481862955894,2.815971631,13.2764064,12.09203422,1.693042914,82.809203998,1
121.8598453,1.6171386015394629,2.362351913,2.32901958,59.094481275,10.310496033,76.899318832,0
107.7230221,0.6376138325703445,4.098786354,4.348064467,44.999033937,5.785224838,53.145327108,0
82.2939916,1.8744114143824735,1.800430253,4.877217164,44.749700777,4.735897895,-1.630793986,1
81.001429,0.6659647195365946,0.454896266,8.096795997,46.266859832,1.631846264,28.620820285,0
146.4275557,1.8515008274308937,0.141303004,1.993376139,16.442732967,8.577489185,213.890434496,1
93.1362226,1.0345997135998077,0.682671214,10.961923288,36.350741557,3.022266919,91.009446262,0
108.0177928,0.20803870388895768,0.18741699,17.408015401,51.624370599,6.165792691,173.097923293,1
89.5706993,0.19696352631555591,1.844299787,4.012024983,62.1418418,13.383530302,47.661527597,0
81.1624873,0.3037984007049518,-0.0989285,12.843147329,47.576516689,5.182904152,-1.630793986,1
67.0908224,1.2971640141864647,-0.184954338,3.168808348,17.550535642,6.854456745,34.241938725,0
133.565056,0.35909940633606935,0.073225816,9.315715438,13.480985517,6.220262592,-1.630793986,1
117.5714882,0.02844435219829844,3.549539043,5.716168578,49.182310266,8.147811736,-1.630793986,1
125.9068269,0.3887570421230344,1.304951382,1.25875191,54.46342813,1.53026036,14.892484013,0
111.9787653,2.0313569694191345,0.214682321,5.509867669,32.000460249,-0.01948393,120.67173116,0
83.7437164,1.488811780807117,0.644310237,8.483578227,17.23070004,3.354394179,262.746796157,1
116.1221048,1.8328027052499376,-0.161048927,2.92556065,51.095848002,4.446165406,77.297754331,0
101.0702245,0.6280956550181298,0.6243636,4.643089508,19.571271739,6.081180362,325.480158395,0
98.0053109,1.2246491090657252,-0.024794908,3.111930339,19.266912515,2.199277478,23.080053285,1
110.7089069,0.11630243185654729,-0.46450905,13.790234865,19.608951615,9.286360575,-1.630793986,0
98.8154132,0.15594706643377887,2.190341643,1.58312924,54.621971053,2.216787064,49.443097495,0
98.4133819,0.5396806196050641,3.400343997,1.475794328,21.87426037,4.125221925,-1.630793986,0
110.50572,1.3375896612181832,3.451180879,5.823502669,27.000205776,5.471833996,256.484674099,0
71.8950045,1.2620032723607988,1.058673477,18.106010622,16.554502011,2.193829205,5.137803959,0
84.5462965,1.4405401948121095,0.227894258,4.936374946,19.400308922,4.789690412,86.470964178,0
64.4442869,3.3077400022766863,1.831412058,5.962817647,19.005320671,6.155609257,49.1561341,1
112.4915717,0.3574140648955701,-0.126767639,2.931311923,55.010849544,7.547494204,17.675684406,0
147.0385996,0.6883093780898102,1.156542917,4.073016303,51.915897928,7.740389307,30.241159478,0
106.7044298,0.7846137398163484,0.10098319,2.724174212,18.529138185,3.547215306,12.332277416,0
116.3468056,0.5666929421298443,0.464666196,2.8602221,62.1418418,-0.324747927,53.882855214,0
110.8102528,1.7415902389482771,0.179917957,4.275289092,21.997831617,7.969779794,82.221556797,1
